-2.703953498876537651e+02,1.706099024457304267e+02
-2.067402658271003020e+02,1.760898908803778795e+02
-1.428396061586088308e+02,1.801771508343852020e+02
-8.131567745599681984e+01,1.773831936056675431e+02
-3.634134013360244353e+01,1.666449915954854646e+02
-2.180829827915204078e+00,1.561540652467288055e+02
1.854354688724765765e+01,1.404219258573126012e+02
3.189215509683435812e+01,1.054388634003613561e+02
2.369213438650695025e+01,5.014185027713563159e+01
1.090520223885846463e+01,4.981762969451892786e-01
6.967492244413961089e+00,-3.825094549955039724e+01
1.408918487461414770e+01,-7.864007143811150513e+01
2.842009551595288031e+01,-1.191940478176228879e+02
5.299465684462256831e+01,-1.364013409081542818e+02
7.322788234390964135e+01,-1.493480233362903959e+02
9.419783466701005636e+01,-1.664728912063466169e+02
1.211491269615594319e+02,-1.767989671141529584e+02
1.512138770458016097e+02,-1.844220112811543686e+02
1.697280732895228539e+02,-1.876195943448102241e+02
